generation,min,max,mean,stdev
56,411.5435731985836,511.15017773466076,487.9385852128416,18.462054815217165
57,411.5435731985836,508.0006866703545,484.70175170963734,18.167610417315952
58,410.1649621352518,505.50290126665556,482.25038937079586,18.083901231669973
59,407.83397083108,502.1756689754237,479.5505999669475,17.88114349893697
60,407.83397083108,499.6751359561481,476.794581837735,17.7584239570805
61,407.83397083108,496.8537595249579,474.3258470321328,17.62975415134204
62,407.83397083108,493.9023173507057,471.50746237130875,17.404805694083272
63,407.83397083108,490.5104421029336,468.6978401696253,16.94180660038071
64,407.05412875554737,486.81884882167475,465.55071150276166,16.566850694561612
65,407.05412875554737,483.32834214973724,462.2002755022189,16.208497001690496
66,407.05412875554737,479.8520578671143,459.4871491221984,15.897418446501709
67,397.6613470943744,476.68080466837495,456.7386831386277,15.509528318571633
68,397.6613470943744,473.154822629151,453.6464822940327,15.047629322960402
69,397.6613470943744,469.5317860873296,450.7963460005084,14.68615915570132
70,397.6613470943744,466.95525418543474,448.60954885441663,14.113058097427333
71,397.6613470943744,463.9156109738137,446.1491053061408,13.672759005526279
72,397.6613470943744,461.52287953725136,444.2566702906453,13.28319589500482
73,397.6613470943744,460.0425079988434,442.9400717388301,12.81988576230201
74,397.6613470943744,457.5439672213021,441.08299536237377,12.257188446462917
75,397.6613470943744,455.1849855246315,439.6929450079849,11.630751117039479
76,397.6613470943744,452.72227514364323,438.0544143761454,11.373380546674396
77,397.6613470943744,451.0411062213354,436.8771063261644,11.106213564815823
78,397.6613470943744,449.3362170454796,435.88343176475763,10.720669880840783
79,397.6613470943744,448.49522620281675,435.160409171118,10.550007139178451
80,397.6613470943744,447.42361847183906,434.26687897940104,10.26459705523262
81,397.6613470943744,446.66677357321583,433.58815894776643,10.11476741069835
82,397.6613470943744,445.4470066715119,432.7388283515239,9.995989828186817
83,397.6613470943744,444.55560756551256,431.9592602893076,9.957990829081393
84,397.6613470943744,443.68174567234774,431.1881234774765,9.772373690945534
85,397.6613470943744,442.8862915788571,430.51858044423784,9.581547945032163
86,397.6613470943744,442.0458751478802,429.88103285820074,9.484645206360685
87,397.6613470943744,441.54282383554903,429.3698626756965,9.229198298877888
88,397.6613470943744,440.8864426950071,428.84192190661537,8.978584600494496
89,397.6613470943744,440.14632675676296,428.36267758288017,8.816136263797084
90,397.6613470943744,439.13496795754423,427.7187381135938,8.560601218978283
91,397.6613470943744,438.7789071119488,427.3084192276994,8.413811697574403
92,397.6613470943744,438.37634910465,426.941181037799,8.312549607533084
93,397.6613470943744,437.77693850546325,426.49289580870203,8.197300906032385
94,397.6613470943744,436.9069088380594,425.90463886322897,8.121845796281242
95,397.6613470943744,436.54531785116944,425.5419765743816,7.966675067425554
96,397.6613470943744,435.7530622483114,425.0789840256214,7.852136501689314
97,395.2459683274252,435.13257791863293,424.7801892634957,7.781641316163716
98,395.2459683274252,434.57974003077237,424.4473183366199,7.718285894317843
99,395.2459683274252,434.1131693441349,424.11268504271214,7.565549935251959
