generation,min_fitness,max_fitness,avg_fitness,std_fitness
56,955.711463013386,1039.8459652972545,1022.0701192837869,16.822015225797394
57,955.711463013386,1038.8955689213067,1020.6722067091031,16.983847645589343
58,955.3770987179729,1037.9550134486453,1019.2619031666496,17.108873689919385
59,950.6189557426029,1037.3845440429739,1018.5393364922613,17.148916305143157
60,950.6189557426029,1036.5370324003957,1017.5187457014259,16.88603719517609
61,950.6189557426029,1035.7560410476942,1016.5756751635217,16.855220337288166
62,950.6189557426029,1034.7196336657687,1015.4880465721003,16.786024801537334
63,934.5272377657284,1033.502121302365,1014.0021455386345,17.00935094034185
64,934.5272377657284,1032.4102727227971,1013.1141467035214,16.80776734623299
65,934.5272377657284,1030.7973170264286,1011.1727645673647,17.130337687696453
66,934.5272377657284,1029.7597118577187,1009.5534458495229,17.25306557977168
67,934.5272377657284,1028.6312413562316,1008.1774048851933,17.102338462395238
68,934.5272377657284,1027.6266729021472,1006.8785774787054,16.96500878213039
69,934.5272377657284,1025.9993805137642,1005.278496351558,16.735933121928102
70,934.1508619966025,1024.9096752349046,1004.118743414124,16.539666387124992
71,934.1508619966025,1023.8641168286625,1003.1452499156303,16.324871573416413
72,934.1508619966025,1021.7923925550965,1001.30974597384,16.153741217180425
73,934.1508619966025,1020.2605124814243,999.894060064776,16.172167300156833
74,919.01857050428,1018.4951286276829,998.7191412863571,16.071645102787052
75,919.01857050428,1017.3737842350648,997.6057071028305,16.082300640345718
76,919.01857050428,1015.9117928608044,996.3944492006847,15.773374719278051
77,919.01857050428,1014.4293645511241,994.705106571818,16.152936279698483
78,919.01857050428,1012.8177628576783,992.9230725586341,16.327190123873
79,919.01857050428,1011.2219533403446,991.1144264579127,16.398600313524796
80,919.01857050428,1009.5812801136941,989.3945796991816,16.67884172331846
81,919.01857050428,1008.1136304595648,987.6537669163579,16.846628012940776
82,919.01857050428,1006.6419392641272,986.0317640915647,16.869588378662634
83,919.01857050428,1004.9571388703604,984.8960733799677,16.82371449267226
84,919.01857050428,1003.1607258544362,983.3120193440557,16.78647738805856
85,919.01857050428,1001.8869041202476,981.7987626681966,16.92744871762831
86,919.01857050428,1000.1045786550867,979.555571730497,17.217202854456055
87,919.01857050428,998.2495919175692,977.3175445401579,17.541079163822715
88,919.01857050428,996.6227227885342,975.582398361314,17.471281461045574
89,919.01857050428,994.6674348075353,973.0678389935847,17.833065639431965
90,919.01857050428,992.7867546434596,970.8946172108396,17.769646222964152
91,919.01857050428,989.7910698656964,967.9939949135229,17.76835634440913
92,918.6791098346406,987.6652391119775,965.4073463341989,17.52443100805779
93,910.3582210546454,984.9338680280442,962.2350640162297,17.20060721787471
94,910.3582210546454,981.898663658863,958.6284000959462,16.805413918477402
95,910.3582210546454,978.9873639606761,955.4889803746861,15.832936747571365
96,910.3582210546454,974.7466064223929,952.0624804371085,14.759123320746127
97,910.3582210546454,970.7204674185047,948.576294192089,13.506589118164104
98,910.3582210546454,966.0529780742539,945.6505290092642,12.19869476086221
99,910.3582210546454,960.9766888970348,942.5863630136428,10.778625706905293
